Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P d,0-3 d,3-10 d,10-16 d,16-3P d,3P d,,2P p,0-3 p,3-10 p,10-16 p,16-3P p,3P p,,2P a,3P a,,%FGA du,#,,%3PA c,3P% c,,Att.,#
212,Dewan Hernandez\hernade01,C,23,TOR,6,28,0.357,5.9,,0.857,0.643,0.214,0,0,0.143,,0.333,0.222,0.667,,,0.5,,0.25,1,,0,0,,0,,,0,0
213,Juan Hernangómez\hernaju01,PF,24,TOT,48,833,0.405,14.7,,0.478,0.352,0.097,0.02,0.008,0.522,,0.475,0.575,0.167,0.4,0,0.341,,0.679,0.977,,0.077,16,,0.217,0.357,,1,0
214,Willy Hernangómez\hernawi01,C,25,CHO,31,375,0.532,7.3,,0.842,0.489,0.273,0.058,0.022,0.158,,0.59,0.706,0.447,0.375,0.333,0.227,,0.58,1,,0.115,14,,0.136,0.333,,0,0
215,Tyler Herro\herroty01,SG,20,MIA,55,1508,0.428,18,,0.528,0.122,0.106,0.116,0.184,0.472,,0.462,0.584,0.433,0.425,0.422,0.389,,0.474,0.784,,0.005,3,,0.151,0.467,,2,0
216,Kevin Hervey\herveke01,PF,23,OKC,10,52,0.259,22.2,,0.259,0.074,0.037,0.037,0.111,0.741,,0.571,1,0,0,0.667,0.15,,0.5,0.667,,0,0,,0.1,0.5,,0,0
217,Mario Hezonja\hezonma01,PF,24,POR,53,871,0.422,13.1,,0.642,0.33,0.165,0.078,0.069,0.358,,0.486,0.5,0.528,0.471,0.333,0.308,,0.441,0.917,,0.046,8,,0.167,0.154,,1,0
218,Buddy Hield\hieldbu01,SG,27,SAC,72,2216,0.429,19.1,,0.408,0.13,0.078,0.082,0.118,0.592,,0.479,0.675,0.352,0.4,0.401,0.394,,0.396,0.723,,0.015,16,,0.172,0.483,,0,0
219,George Hill\hillge01,PG,33,MIL,59,1271,0.516,15,,0.532,0.301,0.112,0.059,0.061,0.468,,0.565,0.761,0.214,0.364,0.435,0.46,,0.469,0.642,,0.029,11,,0.233,0.512,,1,0
220,Solomon Hill\hillso01,PF,28,TOT,59,1088,0.396,18.2,,0.385,0.147,0.147,0.032,0.058,0.615,,0.439,0.463,0.415,0.333,0.5,0.368,,0.553,0.921,,0.018,4,,0.246,0.452,,0,0
221,Jaylen Hoard\hoardja01,PF,20,POR,13,103,0.469,5.6,,0.906,0.625,0.156,0.094,0.031,0.094,,0.517,0.75,0,0,0,0,,0.467,,,0.031,1,,0,,,0,0
222,Aaron Holiday\holidaa01,PG,23,IND,66,1617,0.414,15.1,,0.607,0.215,0.178,0.11,0.105,0.393,,0.427,0.57,0.33,0.323,0.407,0.394,,0.288,0.839,,0.005,2,,0.167,0.432,,1,0
223,Jrue Holiday\holidjr01,SG,29,NOP,61,2117,0.455,12.1,,0.656,0.337,0.214,0.07,0.036,0.344,,0.509,0.628,0.372,0.486,0.25,0.353,,0.31,0.574,,0.026,22,,0.147,0.431,,2,0
224,Justin Holiday\holidju01,SF,30,IND,73,1826,0.428,19.6,,0.319,0.16,0.047,0.045,0.066,0.681,,0.477,0.59,0.261,0.364,0.438,0.405,,0.77,0.978,,0.047,18,,0.39,0.403,,3,0
225,Rondae Hollis-Jefferson\holliro01,PF,25,TOR,60,1122,0.471,4.8,,0.93,0.657,0.191,0.061,0.021,0.07,,0.497,0.569,0.302,0.45,0.143,0.13,,0.645,1,,0.091,26,,0.565,0,,1,0
226,Richaun Holmes\holmeri01,C,26,SAC,44,1242,0.648,4.6,,1,0.57,0.27,0.137,0.023,0,,0.648,0.75,0.473,0.638,0.25,,,0.744,,,0.233,75,,,,,0,0
227,Rodney Hood\hoodro01,SF,27,POR,21,619,0.506,16.2,,0.587,0.116,0.163,0.186,0.122,0.413,,0.515,0.8,0.286,0.5,0.571,0.493,,0.308,0.886,,0.023,4,,0.366,0.538,,0,0
228,Al Horford\horfoal01,C,33,PHI,67,2025,0.45,15.4,,0.601,0.189,0.178,0.111,0.123,0.399,,0.516,0.746,0.381,0.456,0.414,0.35,,0.614,0.98,,0.037,24,,0.127,0.278,,0,0
229,Talen Horton-Tucker\hortota01,SG,19,LAL,6,81,0.467,13.1,,0.567,0.3,0.233,0.033,0,0.433,,0.588,0.778,0.429,0,,0.308,,0.6,1,,0.067,1,,0.308,0.25,,0,0
230,Danuel House\houseda01,SF,26,HOU,63,1913,0.427,17.6,,0.341,0.243,0.065,0.024,0.009,0.659,,0.549,0.679,0.2,0.308,0.2,0.363,,0.733,0.946,,0.072,31,,0.414,0.354,,2,0
231,Dwight Howard\howardw01,C,34,LAL,69,1306,0.729,2.5,,0.982,0.794,0.181,0,0.007,0.018,,0.732,0.814,0.38,,0.5,0.6,,0.618,1,,0.448,116,,0.2,0,,0,0
232,William Howard\howarwi01,PF,26,HOU,2,13,0,25.3,,0,0,0,0,0,1,,,,,,,0,,,,,0,0,,0.25,0,,0,0
233,Kevin Huerter\huertke01,SG,21,ATL,56,1760,0.413,18.1,,0.452,0.139,0.118,0.121,0.074,0.548,,0.453,0.576,0.417,0.419,0.333,0.38,,0.392,0.85,,0.018,10,,0.165,0.455,,1,0
234,De'Andre Hunter\huntede01,SF,22,ATL,63,2018,0.41,15.6,,0.555,0.225,0.133,0.085,0.111,0.445,,0.454,0.591,0.297,0.379,0.421,0.355,,0.564,0.944,,0.037,19,,0.336,0.363,,1,0
235,Chandler Hutchison\hutchch01,SF,23,CHI,28,527,0.457,8,,0.783,0.509,0.229,0.04,0.006,0.217,,0.496,0.607,0.3,0.286,0,0.316,,0.618,1,,0.137,20,,0.553,0.381,,0,0
236,Serge Ibaka\ibakase01,C,30,TOR,55,1485,0.512,12.4,,0.728,0.24,0.264,0.11,0.113,0.272,,0.559,0.764,0.492,0.459,0.382,0.385,,0.799,1,,0.09,55,,0.11,0.25,,0,0
237,Andre Iguodala\iguodan01,SF,36,MIA,21,418,0.432,16.4,,0.466,0.261,0.068,0.068,0.068,0.534,,0.585,0.739,0.333,0.167,0.667,0.298,,0.667,0.929,,0.08,7,,0.468,0.318,,1,0
238,Ersan İlyasova\ilyaser01,PF,32,MIL,63,986,0.466,14.1,,0.562,0.3,0.163,0.061,0.038,0.438,,0.545,0.649,0.373,0.474,0.583,0.365,,0.802,0.98,,0.01,3,,0.234,0.313,,0,0
239,Joe Ingles\inglejo01,PF,32,UTA,72,2137,0.445,18.3,,0.362,0.13,0.156,0.056,0.02,0.638,,0.525,0.736,0.384,0.484,0.364,0.399,,0.371,0.652,,0.004,2,,0.21,0.365,,1,0
240,Brandon Ingram\ingrabr01,PF,22,NOP,62,2104,0.463,14.2,,0.65,0.248,0.128,0.167,0.107,0.35,,0.501,0.654,0.371,0.421,0.427,0.391,,0.317,0.887,,0.058,56,,0.26,0.44,,2,0
241,Kyrie Irving\irvinky01,PG,27,BRK,20,658,0.478,14.6,,0.659,0.19,0.173,0.195,0.101,0.341,,0.522,0.671,0.444,0.506,0.405,0.394,,0.203,0.357,,0,0,,0.099,0.5,,0,0
242,Jonathan Isaac\isaacjo01,PF,22,ORL,34,980,0.47,12.1,,0.717,0.361,0.099,0.151,0.105,0.283,,0.521,0.667,0.364,0.36,0.4,0.34,,0.597,0.938,,0.136,37,,0.245,0.391,,0,0
243,Wesley Iwundu\iwundwe01,SF,25,ORL,52,953,0.416,14.3,,0.648,0.24,0.146,0.116,0.146,0.352,,0.457,0.643,0.353,0.333,0.353,0.341,,0.551,0.75,,0.052,10,,0.329,0.37,,0,0
244,Frank Jackson\jacksfr01,PG,21,NOP,59,797,0.405,15,,0.565,0.233,0.16,0.106,0.066,0.435,,0.465,0.558,0.377,0.486,0.318,0.326,,0.494,0.894,,0.012,4,,0.368,0.377,,2,0
245,Jaren Jackson Jr.\jacksja02,C,20,MEM,57,1622,0.469,14.9,,0.511,0.236,0.232,0.031,0.012,0.489,,0.54,0.708,0.406,0.391,0.222,0.394,,0.644,0.924,,0.08,56,,0.19,0.4,,1,0
246,Josh Jackson\jacksjo02,SF,22,MEM,22,381,0.44,14.2,,0.547,0.258,0.208,0.044,0.038,0.453,,0.54,0.78,0.333,0.143,0.5,0.319,,0.511,0.957,,0.063,9,,0.319,0.348,,1,0
247,Justin Jackson\jacksju01,PF,24,DAL,65,1045,0.396,15.4,,0.522,0.199,0.196,0.111,0.015,0.478,,0.489,0.559,0.507,0.342,0.4,0.294,,0.816,0.938,,0.006,2,,0.233,0.289,,0,0
248,Reggie Jackson\jacksre01,SG-PG,29,TOT,31,743,0.411,15.5,,0.555,0.175,0.227,0.101,0.052,0.445,,0.425,0.561,0.378,0.333,0.353,0.393,,0.156,0.667,,0.009,3,,0.193,0.464,,1,0
249,Justin James\jamesju01,SF,23,SAC,36,232,0.417,14.1,,0.655,0.226,0.19,0.119,0.119,0.345,,0.473,0.737,0.313,0.5,0.2,0.31,,0.731,0.889,,0.131,9,,0.31,0.444,,1,0
250,LeBron James\jamesle01,PG,35,LAL,67,2316,0.493,12.9,,0.674,0.365,0.139,0.073,0.097,0.326,,0.564,0.727,0.409,0.337,0.341,0.348,,0.234,0.473,,0.062,79,,0.061,0.5,,1,0
251,Amile Jefferson\jeffeam01,PF,26,ORL,18,74,0.357,6.1,,1,0.286,0.5,0.143,0.071,0,,0.357,0.25,0.429,0.5,0,,,0.4,,,0,0,,,,,0,0
252,DaQuan Jeffries\jeffrda01,SG,22,SAC,13,141,0.5,14.2,,0.55,0.25,0.225,0.025,0.05,0.45,,0.682,0.9,0.556,1,0,0.278,,0.8,1,,0.15,6,,0.444,0.25,,0,0
253,Ty Jerome\jeromty01,SG,22,PHO,31,328,0.336,16.1,,0.558,0.133,0.23,0.15,0.044,0.442,,0.381,0.533,0.308,0.353,0.4,0.28,,0.25,0.857,,0,0,,0.22,0.273,,1,0
254,Alize Johnson\johnsal02,PF,23,IND,17,118,0.414,9.5,,0.724,0.448,0.207,0.069,0,0.276,,0.429,0.615,0.167,0,,0.375,,0.667,1,,0.034,1,,0.5,0.5,,0,0
255,B.J. Johnson\johnsbj01,SF,24,ORL,10,83,0.281,14.2,,0.719,0.219,0.125,0.125,0.25,0.281,,0.261,0.571,0,0.25,0.125,0.333,,0.167,0.667,,0.094,3,,0.333,0.333,,0,0
256,Cameron Johnson\johnsca02,PF,23,PHO,57,1255,0.435,18.7,,0.328,0.188,0.044,0.054,0.042,0.672,,0.526,0.711,0.167,0.364,0.294,0.39,,0.743,0.991,,0.04,16,,0.397,0.417,,1,0
257,James Johnson\johnsja01,PF-C,32,TOT,32,619,0.479,13.2,,0.577,0.372,0.153,0.042,0.009,0.423,,0.565,0.713,0.303,0.222,0.5,0.363,,0.457,0.879,,0.07,12,,0.176,0.313,,2,0
258,Keldon Johnson\johnske04,SF,20,SAS,17,301,0.596,10.1,,0.753,0.427,0.191,0.079,0.056,0.247,,0.597,0.711,0.471,0.286,0.6,0.591,,0.625,1,,0.022,2,,0.682,0.533,,1,0
259,Stanley Johnson\johnsst04,PF,23,TOR,25,150,0.373,14.2,,0.593,0.305,0.169,0.051,0.068,0.407,,0.429,0.611,0.3,0,0.25,0.292,,0.133,0.429,,0,0,,0.333,0,,1,0
260,Tyler Johnson\johnsty01,PG-SG,27,TOT,39,709,0.388,17.9,,0.524,0.144,0.112,0.092,0.176,0.476,,0.45,0.556,0.286,0.478,0.455,0.319,,0.627,0.947,,0,0,,0.151,0.389,,1,0
261,Nikola Jokić\jokicni01,C,24,DEN,73,2336,0.528,12,,0.762,0.237,0.275,0.143,0.107,0.238,,0.594,0.724,0.599,0.49,0.435,0.314,,0.511,0.85,,0.014,15,,0.039,0.5,,4,0
262,Damian Jones\jonesda03,C,24,ATL,55,887,0.68,3.3,,0.949,0.815,0.107,0.006,0.022,0.051,,0.704,0.759,0.421,0,0.25,0.222,,0.824,1,,0.534,85,,0.778,0.286,,0,0
263,Derrick Jones Jr.\jonesde02,SF,22,MIA,59,1375,0.527,11.2,,0.622,0.49,0.112,0.011,0.009,0.378,,0.677,0.737,0.487,0.25,0.333,0.28,,0.776,0.973,,0.275,84,,0.538,0.225,,5,0
264,Tyus Jones\jonesty01,PG,23,MEM,65,1232,0.459,13.6,,0.711,0.175,0.242,0.198,0.096,0.289,,0.492,0.653,0.423,0.435,0.488,0.379,,0.387,0.745,,0,0,,0.177,0.5,,0,0
265,DeAndre Jordan\jordade01,C,31,BRK,56,1234,0.666,1.8,,1,0.836,0.15,0.007,0.007,0,,0.666,0.729,0.349,0,0.5,,,0.743,,,0.463,113,,,,,0,0
266,Cory Joseph\josepco01,PG,28,SAC,72,1759,0.415,15.4,,0.614,0.158,0.201,0.131,0.124,0.386,,0.455,0.677,0.41,0.315,0.392,0.352,,0.217,0.893,,0,0,,0.245,0.436,,1,0
267,Mfiondu Kabengele\kabenmf01,C,22,LAC,12,64,0.438,18,,0.375,0.188,0.125,0.063,0,0.625,,0.417,0.833,0,0,,0.45,,0.8,0.778,,0.125,4,,0.2,0.75,,0,0
268,Frank Kaminsky\kaminfr01,C,26,PHO,39,777,0.45,13.4,,0.596,0.293,0.195,0.065,0.042,0.404,,0.53,0.6,0.55,0.35,0.231,0.331,,0.68,1,,0.052,13,,0.056,0.429,,0,0
269,Enes Kanter\kanteen01,C,27,BOS,58,983,0.572,3.6,,0.98,0.661,0.27,0.017,0.032,0.02,,0.581,0.639,0.479,0.167,0.455,0.143,,0.47,1,,0.04,11,,0.143,0,,0,0
270,Luke Kennard\kennalu01,SG,23,DET,28,922,0.442,18.2,,0.465,0.126,0.117,0.111,0.111,0.535,,0.491,0.721,0.425,0.342,0.447,0.399,,0.474,0.808,,0.003,1,,0.186,0.353,,0,0
271,Stanton Kidd\kiddst01,SG,27,UTA,4,15,0,11.6,,0.667,0,0.667,0,0,0.333,,0,,0,,,0,,,,,0,0,,0,,,0,0
272,Michael Kidd-Gilchrist\kiddgmi01,PF,26,TOT,25,281,0.333,12.7,,0.697,0.212,0.333,0.045,0.106,0.303,,0.37,0.5,0.364,0.333,0.143,0.25,,0.706,1,,0,0,,0.3,0.333,,0,0
273,Louis King\kinglo02,SF,20,DET,10,62,0.381,16.4,,0.476,0.143,0.19,0.143,0,0.524,,0.4,0.333,0.75,0,,0.364,,0,1,,0.048,1,,0.364,0.75,,0,0
274,Maxi Kleber\klebima01,PF,28,DAL,74,1890,0.461,16.7,,0.379,0.276,0.066,0.027,0.01,0.621,,0.605,0.669,0.471,0.357,0.4,0.373,,0.831,1,,0.107,51,,0.379,0.38,,0,0
275,Brandon Knight\knighbr03,SG-PG,28,TOT,25,462,0.353,22.1,,0.216,0.066,0.066,0.078,0.006,0.784,,0.389,0.364,0.273,0.538,0,0.344,,0.143,0.533,,0,0,,0.107,0.357,,0,0
276,Kevin Knox\knoxke01,SF,20,NYK,65,1166,0.359,16.6,,0.504,0.195,0.125,0.082,0.102,0.496,,0.391,0.564,0.26,0.333,0.268,0.327,,0.506,0.923,,0.045,13,,0.241,0.271,,1,0
277,John Konchar\konchjo01,SG,23,MEM,19,181,0.649,8.5,,0.73,0.541,0.135,0.054,0,0.27,,0.704,0.75,0.6,0.5,,0.5,,0.684,0.6,,0.108,2,,0.4,0,,0,0
278,Furkan Korkmaz\korkmfu01,SG,22,PHI,72,1559,0.43,19.2,,0.368,0.11,0.123,0.078,0.057,0.632,,0.478,0.677,0.377,0.432,0.375,0.402,,0.727,0.972,,0.018,10,,0.213,0.487,,1,0
279,Luke Kornet\kornelu01,C,24,CHI,36,559,0.439,16.1,,0.422,0.289,0.102,0.021,0.011,0.578,,0.646,0.741,0.474,0.5,0,0.287,,0.863,1,,0.134,23,,0.213,0.174,,0,0
280,Kyle Korver\korveky01,SF,38,MIL,58,960,0.43,23.4,,0.191,0.038,0.017,0.031,0.106,0.809,,0.482,0.455,0.2,0.556,0.516,0.418,,0.778,0.97,,0,0,,0.236,0.429,,0,0
281,Rodions Kurucs\kurucro01,PF,21,BRK,47,684,0.446,14.3,,0.492,0.35,0.124,0.011,0.006,0.508,,0.529,0.645,0.273,0,0,0.367,,0.804,0.97,,0.09,14,,0.178,0.438,,0,0
282,Kyle Kuzma\kuzmaky01,PF,24,LAL,61,1526,0.436,15.2,,0.593,0.193,0.226,0.078,0.096,0.407,,0.518,0.783,0.411,0.385,0.344,0.316,,0.605,0.93,,0.036,22,,0.232,0.54,,2,0
283,Skal Labissière\labissk01,C,23,POR,33,567,0.551,8.3,,0.912,0.374,0.279,0.177,0.082,0.088,,0.582,0.673,0.463,0.615,0.5,0.231,,0.731,1,,0.197,27,,0.154,0,,0,0
284,Jeremy Lamb\lambje01,SG,27,IND,46,1291,0.451,15.1,,0.67,0.194,0.146,0.146,0.184,0.33,,0.508,0.624,0.457,0.543,0.398,0.335,,0.368,0.755,,0.01,5,,0.165,0.346,,1,0
285,Romeo Langford\langfro01,SG,20,BOS,32,370,0.35,11.5,,0.663,0.338,0.275,0.038,0.013,0.338,,0.434,0.556,0.273,0.667,0,0.185,,0.478,1,,0.05,3,,0.444,0.25,,1,0
286,Zach LaVine\lavinza01,SG,24,CHI,60,2085,0.45,13.9,,0.596,0.374,0.083,0.048,0.093,0.404,,0.497,0.623,0.182,0.228,0.405,0.38,,0.406,0.549,,0.077,88,,0.167,0.481,,2,0
287,Vic Law\lawvi01,PF,24,ORL,8,62,0.333,19,,0.611,0.111,0.167,0.111,0.222,0.389,,0.455,0,0.667,1,0.25,0.143,,0.2,1,,0.056,0,,0.143,0,,1,0
288,Jake Layman\laymaja01,SF,25,MIN,23,505,0.453,13.3,,0.598,0.352,0.14,0.039,0.067,0.402,,0.533,0.635,0.28,0.571,0.5,0.333,,0.789,0.917,,0.073,12,,0.208,0.333,,0,0
289,T.J. Leaf\leaftj01,PF,22,IND,28,222,0.419,8.6,,0.791,0.5,0.209,0.07,0.012,0.209,,0.456,0.581,0.278,0.167,0,0.278,,0.581,1,,0.093,8,,0.222,0.5,,0,0
290,Jalen Lecque\lecquja01,SG,19,PHO,5,32,0.4,13.4,,0.6,0.4,0,0.1,0.1,0.4,,0.667,0.75,,1,0,0,,0.25,,,0.1,1,,0.5,0,,0,0
291,Courtney Lee\leeco01,SG,34,DAL,24,345,0.488,17.3,,0.427,0.171,0.134,0.024,0.098,0.573,,0.543,0.714,0.545,0,0.375,0.447,,0.421,0.857,,0.024,2,,0.383,0.444,,0,0
292,Damion Lee\leeda03,SG,27,GSW,49,1423,0.417,16.9,,0.532,0.145,0.151,0.139,0.098,0.468,,0.471,0.662,0.403,0.465,0.3,0.356,,0.766,0.953,,0.01,4,,0.218,0.385,,1,0
293,Alex Len\lenal01,C,26,TOT,55,970,0.555,7.3,,0.815,0.555,0.197,0.056,0.006,0.185,,0.619,0.695,0.492,0.333,0.5,0.271,,0.727,1,,0.257,72,,0.458,0.37,,0,0
294,Kawhi Leonard\leonaka01,SF,28,LAC,57,1848,0.47,14.6,,0.713,0.167,0.174,0.226,0.147,0.287,,0.506,0.698,0.452,0.445,0.446,0.378,,0.284,0.626,,0.059,59,,0.052,0.412,,0,0
295,Meyers Leonard\leoname01,C,27,MIA,51,1034,0.509,16.3,,0.453,0.235,0.141,0.06,0.017,0.547,,0.623,0.818,0.515,0.143,0.5,0.414,,0.833,0.943,,0.158,29,,0.148,0.368,,0,0
296,Caris LeVert\leverca01,SG,25,BRK,45,1330,0.425,12.5,,0.699,0.239,0.253,0.16,0.048,0.301,,0.451,0.606,0.341,0.427,0.343,0.364,,0.247,0.463,,0.02,15,,0.086,0.368,,0,0
297,Damian Lillard\lillada01,PG,29,POR,66,2474,0.463,16.8,,0.5,0.295,0.079,0.062,0.064,0.5,,0.524,0.618,0.311,0.405,0.471,0.401,,0.099,0.289,,0.014,16,,0.036,0.417,,3,0
298,Nassir Little\littlna01,PF,19,POR,48,573,0.43,11.6,,0.609,0.397,0.166,0.033,0.013,0.391,,0.554,0.667,0.4,0.2,0,0.237,,0.686,1,,0.139,18,,0.407,0.167,,0,0
299,Kevon Looney\looneke01,C,23,GSW,20,262,0.367,9.8,,0.823,0.38,0.253,0.063,0.127,0.177,,0.431,0.7,0.2,0.4,0.1,0.071,,0.5,1,,0.051,4,,0.429,0.167,,1,0
300,Brook Lopez\lopezbr01,C,31,MIL,68,1817,0.435,15.6,,0.516,0.227,0.183,0.091,0.015,0.484,,0.549,0.697,0.423,0.459,0.4,0.314,,0.668,0.99,,0.069,43,,0.215,0.329,,0,0
301,Robin Lopez\lopezro01,C,31,MIL,66,958,0.492,11.8,,0.649,0.254,0.351,0.037,0.007,0.351,,0.577,0.684,0.486,0.636,1,0.333,,0.58,1,,0.04,10,,0.524,0.364,,0,0
302,Kevin Love\loveke01,PF,31,CLE,56,1780,0.45,18.3,,0.464,0.133,0.116,0.111,0.103,0.536,,0.537,0.66,0.393,0.605,0.467,0.374,,0.586,0.932,,0.007,3,,0.141,0.455,,0,0
303,Kyle Lowry\lowryky01,PG,33,TOR,58,2098,0.416,18.2,,0.42,0.213,0.093,0.044,0.07,0.58,,0.504,0.643,0.347,0.4,0.357,0.352,,0.235,0.543,,0,0,,0.088,0.317,,5,0
304,Timothé Luwawu-Cabarrot\luwawti01,SF,24,BRK,47,853,0.435,16.4,,0.405,0.279,0.082,0.022,0.022,0.595,,0.505,0.587,0.273,0.333,0.5,0.388,,0.6,1,,0.007,2,,0.406,0.446,,1,0
305,Trey Lyles\lylestr01,PF,24,SAS,63,1271,0.446,15.4,,0.51,0.265,0.108,0.07,0.067,0.49,,0.503,0.637,0.27,0.542,0.304,0.387,,0.75,1,,0.061,19,,0.274,0.457,,0,0
306,Daryl Macon\maconda01,PG,24,MIA,4,14,0.333,22.5,,0.333,0,0,0,0.333,0.667,,0,,,,0,0.5,,,1,,0,0,,0.5,1,,0,0
307,J.P. Macura\macurjp01,SG,24,CLE,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
308,Josh Magette\magetjo01,PG,30,ORL,8,38,0.333,15,,0.733,0.067,0.267,0.2,0.2,0.267,,0.364,1,0.5,0.333,0,0.25,,0,1,,0,0,,0,,,0,0
309,Ian Mahinmi\mahinia01,C,33,WAS,38,808,0.495,6.7,,0.876,0.481,0.352,0.029,0.014,0.124,,0.538,0.683,0.351,0.333,0.667,0.192,,0.677,1,,0.157,27,,0.154,0.25,,1,0
310,Thon Maker\makerth01,C,22,DET,60,776,0.482,12,,0.668,0.332,0.223,0.057,0.057,0.332,,0.55,0.734,0.349,0.455,0.364,0.344,,0.761,0.955,,0.155,27,,0.469,0.333,,1,0
311,Terance Mann\mannte01,SF,23,LAC,41,362,0.468,10,,0.747,0.367,0.228,0.127,0.025,0.253,,0.508,0.69,0.389,0.3,0,0.35,,0.333,0.714,,0.051,4,,0.55,0.273,,0,0
312,Boban Marjanović\marjabo01,C,31,DAL,44,422,0.573,6.6,,0.919,0.46,0.318,0.1,0.043,0.081,,0.603,0.825,0.388,0.333,0.444,0.235,,0.521,1,,0.128,24,,0.059,1,,0,0
313,Lauri Markkanen\markkla01,PF,22,CHI,50,1492,0.425,15.5,,0.464,0.274,0.149,0.027,0.014,0.536,,0.518,0.648,0.341,0.313,0.25,0.344,,0.535,0.991,,0.096,47,,0.142,0.422,,2,0
314,Caleb Martin\martica02,SF,24,CHO,18,317,0.44,14.4,,0.56,0.393,0.06,0,0.107,0.44,,0.362,0.424,0.2,,0.222,0.541,,0.588,1,,0.06,3,,0.189,0.571,,0,0
315,Cody Martin\martico01,SF,24,CHO,48,903,0.43,12,,0.628,0.44,0.101,0.019,0.068,0.372,,0.546,0.681,0.238,0,0.286,0.234,,0.535,0.944,,0.101,16,,0.364,0.214,,0,0
316,Jeremiah Martin\martije02,PG,23,BRK,9,99,0.453,12.8,,0.66,0.34,0.17,0.094,0.057,0.34,,0.543,0.722,0.444,0.4,0,0.278,,0.211,0.6,,0,0,,0.111,0,,0,0
